,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2023-02-24,434.5,436.85,427.0,427.7,427.7,421608.0,0.0,1.0
2023-02-23,427.2,436.5,427.1,433.2,433.2,539789.0,0.0,1.0
2023-02-22,436.0,436.0,428.5,429.5,429.5,572896.0,0.0,1.0
2023-02-21,445.95,445.95,435.5,436.55,436.55,283217.0,0.0,1.0
2023-02-20,441.45,445.2,436.5,442.85,442.85,320138.0,0.0,1.0
2023-02-17,435.6,442.25,435.6,439.9,439.9,226091.0,0.0,1.0
2023-02-16,444.05,447.9,440.6,441.55,441.55,251756.0,0.0,1.0
2023-02-15,438.2,444.8,438.1,444.0,444.0,299904.0,0.0,1.0
2023-02-14,441.2,444.2,434.4,440.35,440.35,604730.0,0.0,1.0
2023-02-13,445.3,446.9,439.05,441.1,441.1,331727.0,0.0,1.0
2023-02-10,437.0,447.75,431.3,445.6,445.6,453624.0,0.0,1.0
2023-02-09,439.05,440.6,433.65,436.65,436.65,253863.0,0.0,1.0
2023-02-08,435.65,441.0,431.6,440.1,440.1,342518.0,0.0,1.0
2023-02-07,442.0,443.25,432.95,435.25,435.25,336122.0,0.0,1.0
2023-02-06,444.0,447.1,439.5,441.9,441.9,302970.0,0.0,1.0
2023-02-03,445.55,450.75,442.4,445.45,445.45,439224.0,0.0,1.0
2023-02-02,446.0,449.1,440.9,444.65,444.65,429009.0,0.0,1.0
2023-02-01,455.05,461.3,437.5,446.65,446.65,2508356.0,0.0,1.0
2023-01-31,443.55,454.85,440.95,452.15,452.15,846645.0,0.0,1.0
2023-01-30,445.0,450.1,437.7,443.55,443.55,819204.0,0.0,1.0
2023-01-27,440.0,453.2,435.85,445.55,445.55,2478762.0,0.0,1.0
2023-01-25,423.2,427.0,417.7,419.0,419.0,787830.0,0.0,1.0
2023-01-24,409.1,423.8,409.1,422.1,422.1,2278461.0,0.0,1.0
2023-01-23,406.5,411.0,405.05,408.45,408.45,362823.0,0.0,1.0
2023-01-20,404.0,412.4,401.3,403.1,403.1,550468.0,0.0,1.0
2023-01-19,406.9,407.7,400.0,400.75,400.75,520781.0,0.0,1.0
2023-01-18,415.4,416.0,407.6,408.4,408.4,317840.0,0.0,1.0
2023-01-17,411.1,419.35,411.1,415.25,415.25,807592.0,0.0,1.0
2023-01-16,412.6,414.85,407.8,413.15,413.15,269441.0,0.0,1.0
2023-01-13,412.2,416.4,408.0,411.45,411.45,472205.0,0.0,1.0
2023-01-12,419.2,420.45,410.0,412.2,412.2,489818.0,0.0,1.0
2023-01-11,415.55,419.95,413.55,418.05,418.05,1476595.0,0.0,1.0
2023-01-10,399.3,417.7,399.3,413.05,413.05,1959923.0,0.0,1.0
2023-01-09,386.0,392.5,384.85,389.4,389.4,986248.0,0.0,1.0
2023-01-06,386.0,388.3,381.0,382.15,382.15,705947.0,0.0,1.0
2023-01-05,388.4,388.7,382.55,387.0,387.0,854360.0,0.0,1.0
2023-01-04,395.15,395.15,385.0,385.75,385.75,902928.0,0.0,1.0
2023-01-03,395.5,398.2,393.0,394.0,394.0,323014.0,0.0,1.0
2023-01-02,392.0,396.0,390.75,394.8,394.8,867309.0,0.0,1.0
2022-12-30,391.0,392.1,387.05,388.1,388.1,717322.0,0.0,1.0
2022-12-29,389.5,390.15,383.0,385.9,385.9,1006593.0,0.0,1.0
2022-12-28,394.15,395.95,390.6,391.4,391.4,647942.0,0.0,1.0
2022-12-27,392.0,397.2,388.25,394.15,394.15,1102815.0,0.0,1.0
2022-12-26,378.3,390.6,375.5,384.85,384.85,781059.0,0.0,1.0
2022-12-23,390.0,390.05,376.6,378.3,378.3,1769862.0,0.0,1.0
2022-12-22,403.5,404.75,390.2,394.35,394.35,1480489.0,0.0,1.0
2022-12-21,412.0,414.4,401.0,402.9,402.9,981253.0,0.0,1.0
2022-12-20,417.5,417.9,408.0,410.6,410.6,371871.0,0.0,1.0
2022-12-19,422.4,422.95,415.75,417.9,417.9,294287.0,0.0,1.0
2022-12-16,416.05,427.75,413.1,421.25,421.25,714559.0,0.0,1.0
2022-12-15,419.0,422.55,415.7,416.65,416.65,663571.0,0.0,1.0
2022-12-14,420.0,421.45,417.45,417.95,417.95,558728.0,0.0,1.0
2022-12-13,419.5,421.3,417.3,418.5,418.5,305690.0,0.0,1.0
2022-12-12,411.75,416.95,408.0,414.1,414.1,551123.0,0.0,1.0
2022-12-09,419.95,420.9,409.6,413.35,413.35,754729.0,0.0,1.0
2022-12-08,420.7,421.3,415.65,417.2,417.2,1816861.0,0.0,1.0
2022-12-07,426.6,427.3,419.05,420.1,420.1,775649.0,0.0,1.0
2022-12-06,428.0,431.3,425.7,427.3,427.3,266325.0,0.0,1.0
2022-12-05,434.0,437.4,427.8,428.7,428.7,354606.0,0.0,1.0
2022-12-02,438.55,441.05,434.8,435.3,435.3,577833.0,0.0,1.0
2022-12-01,442.3,443.4,436.8,438.3,438.3,377772.0,0.0,1.0
2022-11-30,433.0,440.9,433.0,439.35,439.35,490299.0,0.0,1.0
2022-11-29,432.9,437.85,429.55,433.05,433.05,402818.0,0.0,1.0
2022-11-28,434.45,440.0,432.4,433.2,433.2,842444.0,0.0,1.0
2022-11-25,424.25,435.4,424.25,433.25,433.25,620606.0,0.0,1.0
2022-11-24,423.6,425.3,420.65,423.35,423.35,601054.0,0.0,1.0
2022-11-23,426.1,429.25,423.0,424.15,424.15,514577.0,0.0,1.0
2022-11-22,421.8,426.35,421.05,424.65,424.65,441867.0,0.0,1.0
2022-11-21,426.3,427.5,420.0,421.05,421.05,510070.0,0.0,1.0
2022-11-18,423.55,426.4,421.1,423.55,423.55,1548732.0,0.0,1.0
2022-11-17,421.2,427.5,419.7,423.7,423.7,826429.0,0.0,1.0
2022-11-16,437.9,438.25,429.5,431.4,431.4,521559.0,0.0,1.0
2022-11-15,435.0,438.5,434.25,437.05,437.05,764416.0,0.0,1.0
2022-11-14,423.35,437.6,423.35,433.6,433.6,1706880.0,0.0,1.0
2022-11-11,418.05,425.4,414.7,423.55,423.55,1549709.0,0.0,1.0
2022-11-10,418.15,420.1,409.3,412.2,412.2,1187213.0,0.0,1.0
2022-11-09,437.2,441.1,432.0,433.0,433.0,597425.0,0.0,1.0
2022-11-07,427.25,437.45,427.25,434.9,434.9,1494974.0,0.0,1.0
2022-11-04,416.25,426.0,416.25,425.35,425.35,488715.0,0.0,1.0
2022-11-03,418.55,423.2,414.45,416.25,416.25,431261.0,0.0,1.0
2022-11-02,421.5,425.0,420.0,422.1,422.1,907341.0,0.0,1.0
2022-11-01,414.0,422.45,412.85,421.5,421.5,789503.0,0.0,1.0
2022-10-31,413.5,416.15,411.35,412.6,412.6,438862.0,0.0,1.0
2022-10-28,407.5,411.25,406.1,409.85,409.85,587444.0,0.0,1.0
2022-10-27,405.55,411.55,404.0,407.65,407.65,1113968.0,0.0,1.0
2022-10-25,404.0,410.4,403.35,404.6,404.6,704716.0,0.0,1.0
2022-10-24,403.0,404.85,400.05,401.55,401.55,150584.0,0.0,1.0
2022-10-21,397.1,402.35,394.75,397.95,397.95,416859.0,0.0,1.0
2022-10-20,397.5,399.85,393.1,398.05,398.05,753648.0,0.0,1.0
2022-10-19,405.15,407.1,397.5,399.05,399.05,608584.0,0.0,1.0
2022-10-18,400.2,406.5,400.2,404.3,404.3,423972.0,0.0,1.0
2022-10-17,394.0,398.85,392.3,396.1,396.1,375015.0,0.0,1.0
2022-10-14,405.15,409.0,395.35,396.2,396.2,490498.0,0.0,1.0
2022-10-13,396.0,403.4,394.5,398.95,398.95,461916.0,0.0,1.0
2022-10-12,395.0,398.2,391.2,396.5,396.5,558892.0,0.0,1.0
2022-10-11,396.95,399.45,391.45,393.3,393.3,3402935.0,0.0,1.0
2022-10-10,403.1,403.95,393.15,395.95,395.95,2184113.0,0.0,1.0
2022-10-07,414.0,414.0,408.7,412.2,412.2,379705.0,0.0,1.0
2022-10-06,409.0,417.5,409.0,414.0,414.0,1101277.0,0.0,1.0
2022-10-04,406.0,408.95,402.95,407.95,407.95,464732.0,0.0,1.0
2022-10-03,405.9,406.7,395.5,397.65,397.65,1488059.0,0.0,1.0
